index,Date,Route_number,Direction,Board_number,Transport_number,Stop_number,Ident_station,Name_stop,Time_stop,In_people,Out_people,People_inside,Type_Transport
62,2024-04-01,42,Прямое,3125,42_4,13.0,15877.0,"Бухарестская ул., 6",2024-04-01 08:45:38,1,5,19,Троллейбус
63,2024-04-01,42,Прямое,3125,42_4,14.0,15882.0,"Ст. метро ""Волковская""",2024-04-01 08:49:10,0,2,15,Троллейбус
64,2024-04-01,42,Прямое,3125,42_4,15.0,15888.0,Ул. Салова,2024-04-01 08:50:15,3,0,13,Троллейбус
65,2024-04-01,42,Прямое,3125,42_4,16.0,15896.0,Старообрядческий мост,2024-04-01 08:52:51,1,4,16,Троллейбус
66,2024-04-01,42,Прямое,3125,42_4,17.0,37421.0,Днепропетровская ул.,2024-04-01 08:54:33,0,2,13,Троллейбус
67,2024-04-01,42,Прямое,3125,42_4,18.0,37424.0,"Курская ул., 28",2024-04-01 08:56:10,3,2,11,Троллейбус
68,2024-04-01,42,Прямое,3125,42_4,19.0,37428.0,"Ст. метро ""Обводный канал""",2024-04-01 08:59:56,8,6,12,Троллейбус
69,2024-04-01,42,Прямое,3125,42_4,21.0,37429.0,"Ст. метро ""Лиговский пр.""",2024-04-01 09:02:00,0,2,14,Троллейбус
70,2024-04-01,42,Прямое,3125,,,37432.0,Кузнечный пер.,2024-04-01 09:05:29,0,4,12,Троллейбус
71,2024-04-01,42,Прямое,3125,,,37433.0,Московский вокзал,2024-04-01 09:07:22,0,8,8,Троллейбус
72,2024-04-01,42,Прямое,3125,,,37427.0,"Ст. метро ""Обводный канал""",2024-04-01 09:17:37,5,0,0,Троллейбус
73,2024-04-01,42,Обратное,3125,42_5,,37426.0,Автовокзал,2024-04-01 09:19:27,0,2,5,Троллейбус
74,2024-04-01,42,Обратное,3125,42_5,6.0,37423.0,Курская ул.,2024-04-01 09:20:58,0,1,3,Троллейбус
75,2024-04-01,42,Обратное,3125,42_5,7.0,37422.0,Прилукская ул.,2024-04-01 09:21:43,0,1,2,Троллейбус
76,2024-04-01,42,Обратное,3125,42_5,8.0,15924.0,Университет кино и телевидения,2024-04-01 09:27:56,2,0,1,Троллейбус
77,2024-04-01,42,Обратное,3125,42_5,13.0,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 09:32:03,0,2,3,Троллейбус
78,2024-04-01,42,Обратное,3125,42_5,14.0,15933.0,Университет профсоюзов,2024-04-01 09:35:23,2,0,1,Троллейбус
79,2024-04-01,42,Обратное,3125,42_5,15.0,16491.0,"Пражская ул., 14",2024-04-01 09:37:46,3,1,3,Троллейбус
80,2024-04-01,42,Обратное,3125,42_5,17.0,16898.0,Ул. Белы Куна / Пражская ул.,2024-04-01 09:39:12,2,2,5,Троллейбус
81,2024-04-01,42,Обратное,3125,42_5,18.0,15889.0,"Пражская ул., 25",2024-04-01 09:40:40,3,1,5,Троллейбус
82,2024-04-01,42,Обратное,3125,42_5,19.0,15895.0,Ул. Турку,2024-04-01 09:42:06,2,3,7,Троллейбус
83,2024-04-01,42,Обратное,3125,42_5,20.0,15903.0,Администрация Фрунзенского района,2024-04-01 09:43:17,1,2,6,Троллейбус
84,2024-04-01,42,Обратное,3125,42_5,21.0,15349.0,Пражская ул./ Пр. Славы,2024-04-01 09:45:50,2,1,5,Троллейбус
85,2024-04-01,42,Обратное,3125,42_5,22.0,15352.0,Гамбургская пл.,2024-04-01 09:48:36,1,2,6,Троллейбус
86,2024-04-01,42,Прямое,3125,,,15316.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 09:50:00,2,4,2,Троллейбус
89,2024-04-01,42,Прямое,3125,42_6,,15443.0,Пражская ул.,2024-04-01 10:36:11,2,0,5,Троллейбус
90,2024-04-01,42,Прямое,3125,42_6,4.0,15447.0,Администрация Фрунзенского района,2024-04-01 10:37:04,1,0,7,Троллейбус
91,2024-04-01,42,Прямое,3125,42_6,5.0,15679.0,Ул. Турку,2024-04-01 10:38:05,0,2,8,Троллейбус
92,2024-04-01,42,Прямое,3125,42_6,6.0,15682.0,"Пражская ул., 32",2024-04-01 10:38:52,1,0,6,Троллейбус
93,2024-04-01,42,Прямое,3125,42_6,7.0,15835.0,Ул. Белы Куна,2024-04-01 10:41:14,2,1,7,Троллейбус
94,2024-04-01,42,Прямое,3125,42_6,8.0,15838.0,"Пражская ул., 14",2024-04-01 10:42:20,10,2,8,Троллейбус
95,2024-04-01,42,Прямое,3125,42_6,9.0,15841.0,Ул. Фучика,2024-04-01 10:43:59,1,1,16,Троллейбус
96,2024-04-01,42,Прямое,3125,42_6,10.0,15867.0,Университет профсоюзов,2024-04-01 10:46:35,0,2,16,Троллейбус
97,2024-04-01,42,Прямое,3125,42_6,11.0,15871.0,"Ст. метро ""Бухарестская""",2024-04-01 10:48:44,7,7,14,Троллейбус
98,2024-04-01,42,Прямое,3125,42_6,12.0,15873.0,Университет кино и телевидения,2024-04-01 10:49:44,0,4,14,Троллейбус
99,2024-04-01,42,Прямое,3125,42_6,13.0,15877.0,"Бухарестская ул., 6",2024-04-01 10:51:18,3,4,10,Троллейбус
100,2024-04-01,42,Прямое,3125,42_6,14.0,15882.0,"Ст. метро ""Волковская""",2024-04-01 10:53:03,0,1,9,Троллейбус
101,2024-04-01,42,Прямое,3125,42_6,15.0,15888.0,Ул. Салова,2024-04-01 10:54:28,1,1,8,Троллейбус
102,2024-04-01,42,Прямое,3125,42_6,16.0,15896.0,Старообрядческий мост,2024-04-01 10:57:09,1,0,8,Троллейбус
103,2024-04-01,42,Прямое,3125,42_6,17.0,37428.0,"Ст. метро ""Обводный канал""",2024-04-01 11:04:25,2,2,9,Троллейбус
104,2024-04-01,42,Прямое,3125,42_6,21.0,37429.0,"Ст. метро ""Лиговский пр.""",2024-04-01 11:07:03,0,1,9,Троллейбус
105,2024-04-01,42,Прямое,3125,,,37432.0,Кузнечный пер.,2024-04-01 11:10:11,0,3,7,Троллейбус
106,2024-04-01,42,Прямое,3125,,,37433.0,Московский вокзал,2024-04-01 11:12:45,0,4,5,Троллейбус
109,2024-04-01,42,Прямое,3125,,,37427.0,"Ст. метро ""Обводный канал""",2024-04-01 11:25:30,2,0,5,Троллейбус
110,2024-04-01,42,Обратное,3125,42_7,,37426.0,Автовокзал,2024-04-01 11:27:40,0,2,7,Троллейбус
111,2024-04-01,42,Обратное,3125,42_7,6.0,15920.0,"Бухарестская ул., 6",2024-04-01 11:37:09,3,0,5,Троллейбус
112,2024-04-01,42,Обратное,3125,42_7,12.0,15924.0,Университет кино и телевидения,2024-04-01 11:37:58,2,0,8,Троллейбус
113,2024-04-01,42,Обратное,3125,42_7,13.0,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 11:40:49,1,2,10,Троллейбус
114,2024-04-01,42,Обратное,3125,42_7,14.0,15933.0,Университет профсоюзов,2024-04-01 11:44:31,0,1,9,Троллейбус
115,2024-04-01,42,Обратное,3125,42_7,15.0,16491.0,"Пражская ул., 14",2024-04-01 11:46:56,0,1,8,Троллейбус
116,2024-04-01,42,Обратное,3125,42_7,17.0,16898.0,Ул. Белы Куна / Пражская ул.,2024-04-01 11:48:00,1,0,7,Троллейбус
117,2024-04-01,42,Обратное,3125,42_7,18.0,15895.0,Ул. Турку,2024-04-01 11:50:05,1,2,8,Троллейбус
118,2024-04-01,42,Обратное,3125,42_7,20.0,15903.0,Администрация Фрунзенского района,2024-04-01 11:51:17,0,4,7,Троллейбус
119,2024-04-01,42,Обратное,3125,42_7,21.0,15357.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 11:55:58,0,1,3,Троллейбус
120,2024-04-01,42,Прямое,3125,,,15316.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 12:07:40,1,0,2,Троллейбус
121,2024-04-01,42,Прямое,3125,42_8,,15443.0,Пражская ул.,2024-04-01 12:12:47,1,0,3,Троллейбус
122,2024-04-01,42,Прямое,3125,42_8,4.0,15679.0,Ул. Турку,2024-04-01 12:15:15,1,1,4,Троллейбус
123,2024-04-01,42,Прямое,3125,42_8,6.0,15835.0,Ул. Белы Куна,2024-04-01 12:18:25,0,1,4,Троллейбус
124,2024-04-01,42,Прямое,3125,42_8,8.0,15867.0,Университет профсоюзов,2024-04-01 12:22:05,1,0,3,Троллейбус
125,2024-04-01,42,Прямое,3125,42_8,11.0,15871.0,"Ст. метро ""Бухарестская""",2024-04-01 12:24:09,1,2,4,Троллейбус
126,2024-04-01,42,Прямое,3125,42_8,12.0,15873.0,Университет кино и телевидения,2024-04-01 12:25:20,0,1,3,Троллейбус
127,2024-04-01,42,Прямое,3125,42_8,13.0,37428.0,"Ст. метро ""Обводный канал""",2024-04-01 12:38:27,7,0,5,Троллейбус
128,2024-04-01,42,Прямое,3125,42_8,21.0,37429.0,"Ст. метро ""Лиговский пр.""",2024-04-01 12:40:19,0,1,9,Троллейбус
129,2024-04-01,42,Прямое,3125,,,37432.0,Кузнечный пер.,2024-04-01 12:42:17,0,5,8,Троллейбус
130,2024-04-01,42,Прямое,3125,,,37433.0,Московский вокзал,2024-04-01 12:44:15,3,1,2,Троллейбус
131,2024-04-01,42,Прямое,3125,,,37430.0,"Ст. метро ""Лиговский пр.""",2024-04-01 12:49:52,2,0,5,Троллейбус
132,2024-04-01,42,Обратное,3125,42_9,,37427.0,"Ст. метро ""Обводный канал""",2024-04-01 12:53:35,1,2,7,Троллейбус
133,2024-04-01,42,Обратное,3125,42_9,5.0,37426.0,Автовокзал,2024-04-01 12:54:59,2,0,6,Троллейбус
136,2024-04-01,42,Обратное,3125,42_9,6.0,15924.0,Университет кино и телевидения,2024-04-01 13:06:21,2,0,13,Троллейбус
137,2024-04-01,42,Обратное,3125,42_9,13.0,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 13:11:24,6,1,15,Троллейбус
138,2024-04-01,42,Обратное,3125,42_9,14.0,15933.0,Университет профсоюзов,2024-04-01 13:14:40,5,2,20,Троллейбус
139,2024-04-01,42,Обратное,3125,42_9,15.0,16547.0,Пражская ул.,2024-04-01 13:16:04,3,1,23,Троллейбус
140,2024-04-01,42,Обратное,3125,42_9,16.0,16491.0,"Пражская ул., 14",2024-04-01 13:17:29,6,5,25,Троллейбус
141,2024-04-01,42,Обратное,3125,42_9,17.0,16898.0,Ул. Белы Куна / Пражская ул.,2024-04-01 13:19:17,5,5,26,Троллейбус
142,2024-04-01,42,Обратное,3125,42_9,18.0,15889.0,"Пражская ул., 25",2024-04-01 13:20:48,0,5,26,Троллейбус
143,2024-04-01,42,Обратное,3125,42_9,19.0,15895.0,Ул. Турку,2024-04-01 13:21:40,0,3,21,Троллейбус
144,2024-04-01,42,Обратное,3125,42_9,20.0,15903.0,Администрация Фрунзенского района,2024-04-01 13:23:05,0,7,18,Троллейбус
147,2024-04-01,42,Обратное,3125,42_9,21.0,15357.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 13:29:18,0,3,5,Троллейбус
148,2024-04-01,42,Обратное,3125,42_9,24.0,16883.0,Ж.-д. платформа Сортировочная (посадки/высадки нет),2024-04-01 13:39:52,1,1,2,Троллейбус
150,2024-04-01,29,Прямое,3125,29_10,,15316.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 13:48:45,7,1,1,Троллейбус
153,2024-04-01,29,Прямое,3125,29_10,2.0,15322.0,Пражская ул.,2024-04-01 13:54:35,4,1,8,Троллейбус
154,2024-04-01,42,Прямое,3125,,,15447.0,Администрация Фрунзенского района,2024-04-01 13:55:40,3,2,11,Троллейбус
155,2024-04-01,42,Прямое,3125,42_11,,15679.0,Ул. Турку,2024-04-01 13:56:49,6,2,12,Троллейбус
156,2024-04-01,42,Прямое,3125,42_11,6.0,15682.0,"Пражская ул., 32",2024-04-01 13:57:44,0,1,16,Троллейбус
157,2024-04-01,42,Прямое,3125,42_11,7.0,15835.0,Ул. Белы Куна,2024-04-01 14:00:54,5,8,15,Троллейбус
158,2024-04-01,42,Прямое,3125,42_11,8.0,15838.0,"Пражская ул., 14",2024-04-01 14:02:08,3,1,12,Троллейбус
159,2024-04-01,42,Прямое,3125,42_11,9.0,15871.0,"Ст. метро ""Бухарестская""",2024-04-01 14:09:34,1,4,14,Троллейбус
160,2024-04-01,42,Прямое,3125,42_11,12.0,15873.0,Университет кино и телевидения,2024-04-01 14:11:09,6,2,11,Троллейбус
161,2024-04-01,42,Прямое,3125,42_11,13.0,15877.0,"Бухарестская ул., 6",2024-04-01 14:12:05,0,1,15,Троллейбус
162,2024-04-01,42,Прямое,3125,42_11,14.0,15882.0,"Ст. метро ""Волковская""",2024-04-01 14:14:12,1,1,14,Троллейбус
163,2024-04-01,42,Прямое,3125,42_11,15.0,15896.0,Старообрядческий мост,2024-04-01 14:17:26,2,1,14,Троллейбус
164,2024-04-01,42,Прямое,3125,42_11,17.0,37421.0,Днепропетровская ул.,2024-04-01 14:19:46,0,2,15,Троллейбус
167,2024-04-01,42,Прямое,3125,42_11,18.0,37428.0,"Ст. метро ""Обводный канал""",2024-04-01 14:25:42,5,3,15,Троллейбус
168,2024-04-01,42,Прямое,3125,,,37432.0,Кузнечный пер.,2024-04-01 14:31:50,2,1,17,Троллейбус
169,2024-04-01,42,Прямое,3125,,,37433.0,Московский вокзал,2024-04-01 14:34:42,0,16,18,Троллейбус
171,2024-04-01,42,Прямое,3125,,,37430.0,"Ст. метро ""Лиговский пр.""",2024-04-01 14:44:07,6,0,6,Троллейбус
173,2024-04-01,42,Обратное,3125,42_12,,37423.0,Курская ул.,2024-04-01 14:51:06,0,1,11,Троллейбус
175,2024-04-01,42,Обратное,3125,42_12,7.0,15905.0,Расстанный пер.,2024-04-01 14:54:07,0,2,11,Троллейбус
179,2024-04-01,42,Обратное,3125,42_12,9.0,15924.0,Университет кино и телевидения,2024-04-01 15:01:07,1,1,10,Троллейбус
180,2024-04-01,42,Обратное,3125,42_12,13.0,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 15:04:16,3,0,10,Троллейбус
181,2024-04-01,42,Прямое,3125,,,15867.0,Университет профсоюзов,2024-04-01 15:09:09,2,1,13,Троллейбус
182,2024-04-01,42,Прямое,3125,,,15841.0,Ул. Фучика,2024-04-01 15:10:57,3,2,14,Троллейбус
195,2024-04-01,42,Прямое,3125,,,15352.0,Гамбургская пл.,2024-04-01 15:26:07,0,1,7,Троллейбус
198,2024-04-01,42,Прямое,3125,,,15316.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 15:36:52,2,0,4,Троллейбус
199,2024-04-01,42,Прямое,3125,42_13,,15319.0,Гамбургская пл.,2024-04-01 15:39:34,3,1,6,Троллейбус
223,2024-04-01,42,Прямое,3125,42_13,3.0,37429.0,"Ст. метро ""Лиговский пр.""",2024-04-01 16:12:33,2,3,8,Троллейбус
224,2024-04-01,42,Прямое,3125,,,37432.0,Кузнечный пер.,2024-04-01 16:15:37,0,3,7,Троллейбус
225,2024-04-01,42,Прямое,3125,,,37433.0,Московский вокзал,2024-04-01 16:17:31,0,3,4,Троллейбус
226,2024-04-01,42,Прямое,3125,42_14,,37435.0,"Я=Пл. Восстания (оборотная, посадки/высадки нет)",2024-04-01 16:22:46,4,0,1,Троллейбус
227,2024-04-01,42,Обратное,3125,42_15,,37430.0,"Ст. метро ""Лиговский пр.""",2024-04-01 16:25:56,2,1,5,Троллейбус
230,2024-04-01,42,Обратное,3125,42_15,4.0,37426.0,Автовокзал,2024-04-01 16:31:22,1,1,8,Троллейбус
232,2024-04-01,42,Обратное,3125,42_15,6.0,15924.0,Университет кино и телевидения,2024-04-01 16:43:11,1,3,9,Троллейбус
237,2024-04-01,42,Прямое,3125,,,15838.0,"Пражская ул., 14",2024-04-01 16:54:06,1,2,9,Троллейбус
289,2024-04-01,42,Прямое,3125,42_16,,15873.0,Университет кино и телевидения,2024-04-01 18:39:07,1,0,5,Троллейбус
290,2024-04-01,42,Прямое,3125,,,15930.0,"Ст. метро ""Бухарестская""",2024-04-01 18:43:58,5,1,6,Троллейбус
291,2024-04-01,42,Обратное,3125,42_17,,15933.0,Университет профсоюзов,2024-04-01 18:47:58,0,1,10,Троллейбус
292,2024-04-01,42,Обратное,3125,42_17,15.0,16547.0,Пражская ул.,2024-04-01 18:49:10,2,0,9,Троллейбус
293,2024-04-01,42,Обратное,3125,42_17,16.0,16491.0,"Пражская ул., 14",2024-04-01 18:50:14,0,2,11,Троллейбус
294,2024-04-01,42,Обратное,3125,42_17,17.0,16898.0,Ул. Белы Куна / Пражская ул.,2024-04-01 18:51:23,0,2,9,Троллейбус
297,2024-04-01,42,Обратное,3125,42_17,18.0,15895.0,Ул. Турку,2024-04-01 18:54:37,3,1,5,Троллейбус
298,2024-04-01,42,Обратное,3125,42_17,20.0,15903.0,Администрация Фрунзенского района,2024-04-01 18:55:41,0,3,7,Троллейбус
302,2024-04-01,42,Обратное,3125,42_17,21.0,15357.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 19:04:47,0,1,0,Троллейбус
303,2024-04-01,42,Обратное,3125,42_17,24.0,16883.0,Ж.-д. платформа Сортировочная (посадки/высадки нет),2024-04-01 19:07:54,2,1,0,Троллейбус
304,2024-04-01,36,Прямое,3125,36_18,,15316.0,Ж.-д. платформа Сортировочная имени В.Н. Морозова,2024-04-01 19:48:36,2,0,1,Троллейбус
305,2024-04-01,36,Прямое,3125,36_18,2.0,15443.0,Пражская ул.,2024-04-01 19:53:03,6,0,3,Троллейбус
306,2024-04-01,36,Прямое,3125,36_18,4.0,15447.0,Администрация Фрунзенского района,2024-04-01 19:54:18,1,0,9,Троллейбус
307,2024-04-01,36,Прямое,3125,36_18,5.0,15679.0,Ул. Турку,2024-04-01 19:55:16,2,3,10,Троллейбус
308,2024-04-01,36,Прямое,3125,36_18,6.0,15682.0,"Пражская ул., 32",2024-04-01 19:56:06,0,2,9,Троллейбус
309,2024-04-01,42,Прямое,3125,42_19,,15835.0,Ул. Белы Куна,2024-04-01 19:58:23,5,3,7,Троллейбус
310,2024-04-01,42,Прямое,3125,42_19,8.0,15838.0,"Пражская ул., 14",2024-04-01 19:59:21,3,3,9,Троллейбус
311,2024-04-01,42,Прямое,3125,42_19,9.0,15867.0,Университет профсоюзов,2024-04-01 20:03:47,0,2,9,Троллейбус
312,2024-04-01,42,Прямое,3125,42_19,11.0,15871.0,"Ст. метро ""Бухарестская""",2024-04-01 20:05:16,1,2,7,Троллейбус
313,2024-04-01,42,Прямое,3125,42_19,12.0,15877.0,"Бухарестская ул., 6",2024-04-01 20:07:15,0,1,6,Троллейбус
314,2024-04-01,42,Прямое,3125,42_19,14.0,15882.0,"Ст. метро ""Волковская""",2024-04-01 20:09:16,2,0,5,Троллейбус
315,2024-04-01,42,Прямое,3125,42_19,15.0,15888.0,Ул. Салова,2024-04-01 20:10:07,0,1,7,Троллейбус
316,2024-04-01,42,Прямое,3125,42_19,16.0,15896.0,Старообрядческий мост,2024-04-01 20:12:16,2,0,6,Троллейбус
317,2024-04-01,42,Прямое,3125,42_19,17.0,37421.0,Днепропетровская ул.,2024-04-01 20:15:10,2,0,8,Троллейбус
